student_id,course_id,course_name
D0877706,2142,會計學(二)
D0759313,1297,程式設計(IV)
D072151686,1320,機率論
D016636552,2175,管理資訊系統
D0504188,2174,國際企業管理
D011928683,3767,全民國防教育軍事訓練(二)
D024088138,2874,中國文化遺產及其藝術
D0782897,1307,系統程式
D0817563,2892,生死與哲學
D054735644,1362,數位影像安全技術專題
D090820052,1307,系統程式
D0739254,3892,打造自我品牌─職能加值課程
D073494171,2171,管理資訊系統
D013483036,1286,程式設計(III)
D0817576,2156,商事法
D023949249,2921,皮膚保養醫學
D001824759,1338,計算機演算法
D049943863,2160,管理科學
D059043843,1278,普通物理-電、磁、光實驗
D082472559,2871,詩詞欣賞
D041914168,2899,當代文學閱讀與寫作
D0596498,2899,當代文學閱讀與寫作
D0852496,2983,智慧綠台灣
D011188926,2952,心理學整合與發展
D088090061,2925,國防科技與產業發展
D036264643,2154,管理科學
D0994276,2939,智慧城市無所不在的監測系統
D0592729,2153,統計學(二)實習
D0709322,2907,旅遊與多元學習
D069499128,1313,資訊與網路安全
D0918633,3811,讀劇表演
D028974314,2159,統計學(二)實習
D0884780,1282,邏輯設計
D0965830,3817,iOS APP程式設計
D041613795,2952,心理學整合與發展
D058170212,2908,旅遊與多元學習	
D027083512,2170,國際企業管理
D0958057,2157,組織行為
D030662353,1298,普通物理-電、磁、光實驗
D067736225,1308,資料庫系統
D0882102,2933,環境與公害
D003624845,1303,邏輯設計實習
D025327298,2143,會計學(二)實習
D0538055,2926,創新綠色科技
D0507974,1281,線性代數
D0832703,3031,食品衛生與安全
D039684172,1307,系統程式
D065242865,2994,探討在台日商管理之文化差異問題
D077697776,2912,電影與性別
D085147744,2171,管理資訊系統
D093408813,2179,服務科學與創新
D092834330,1304,系統程式
D0551718,3036,社會學與生活體驗
D0649612,1279,微積分(二)實習
D0755017,2912,電影與性別
D013941956,1341,計算機演算法
D0741617,1320,機率論
D0904751,2158,統計學(二)
D0638365,2997,舞台道具製作
D022540232,1327,物件導向設計實習
D0581121,1298,普通物理-電、磁、光實驗
D069554773,2196,財務管理
D008126351,2156,商事法
D031938174,2981,美好時光，社群聚場
D0540148,3028,智慧城市與行動應用
D0711471,3021,生命科學
D033572086,2165,消費者行為
D036623860,2165,消費者行為
D0531477,2893,宗教與人生
D0572554,3029,3D城市與數位校園
D069228797,2132,班級活動
D028664093,2153,統計學(二)實習
D014756139,1329,電子商務安全
D018949933,2137,經濟學(二)實習
D0962004,1317,機率論
D0727560,2146,管理學
D006430351,3011,從人類學看世界
D0611609,2139,資訊網路
D083633096,2196,財務管理
D0693580,2001,電子商務安全
D0816260,3020,世界建築欣賞
D021189364,1288,普通物理-電、磁、光實驗
D0820443,1341,計算機演算法
D020872557,1293,邏輯設計實習
D045900792,3780,全民國防教育軍事訓練(二)
D0862360,3032,個人資料保護法
D074912209,1317,機率論
D012343300,2885,台灣民間信仰
D0850496,2868,中國文物欣賞
D073138884,2004,人工智慧概論與實務
D074116836,3829,Android Apps創意程式設計
D064994505,2997,舞台道具製作
D056809633,2976,初階智慧型創新
D006893569,1298,普通物理-電、磁、光實驗
D0857703,2159,統計學(二)實習
D084166470,2914,鋼琴音樂萬花筒
D031267717,2137,經濟學(二)實習
D034566213,1316,資料庫系統
D048822053,2906,批判思考
